Crakehill,Skip Bridge,Westwick,,,,,
71.4,25.919,56.15,185,0.628606823,0.529788702,0.513713871,0.679238517
95.4,35.334,82.066,150.4,0.811568515,0.692186287,0.71154782,0.568698034
68.1,19.787,43.905,90.31,0.60344959,0.424018974,0.420239697,0.376721804
37.7,13.397,30.387,71.14,0.371698113,0.313799051,0.317047873,0.315477265
30.2,11.544,24.317,59.05,0.314522584,0.281836999,0.270711553,0.276851992
22.4,10.139,19.707,68.72,0.255060034,0.257602415,0.235520377,0.307745821
33.9,18.111,27.472,98.35,0.342729179,0.395109961,0.294795752,0.402408089
52,16.206,31.808,74.58,0.480712788,0.36225097,0.327895304,0.326467417
31.4,12.005,22.305,55.06,0.323670669,0.289788702,0.255352627,0.264104694
22.3,8.785,17.586,42.92,0.254297694,0.23424752,0.219329383,0.225319681
18.1,5.774,14.755,36.39,0.222279398,0.182311341,0.19771849,0.204457561
15.5,5.3,12.928,32.49,0.202458548,0.174135403,0.183771792,0.191997796
13.9,4.84,11.755,30.28,0.190261102,0.166200949,0.174817508,0.184937262
13,4.654,11.048,29.3,0.183400038,0.162992669,0.16942051,0.181806346
12.8,4.666,10.593,28.16,0.181875357,0.163199655,0.165947194,0.178164261
13.2,4.369,10.33,27.79,0.184924719,0.158076757,0.163939541,0.176982181
12.6,4.093,10.061,26.08,0.180350677,0.153316085,0.161886087,0.171519053
11.7,3.945,9.494,24.67,0.173489613,0.15076326,0.157557801,0.167014369
11,3.797,9.074,23.32,0.16815323,0.148210436,0.154351664,0.162701373
10.5,3.706,8.629,22.19,0.164341528,0.146640793,0.150954685,0.159091236
9.99,3.609,8.128,21.05,0.160453593,0.144967658,0.147130221,0.155449151
9.46,3.545,7.773,20.32,0.156413188,0.143863734,0.144420271,0.153116938
9.09,3.494,7.548,19.71,0.153592529,0.142984045,0.142702698,0.151168103
8.76,3.422,7.367,19.23,0.151076806,0.14174213,0.141321005,0.149634593
8.53,3.34,7.156,18.76,0.149323423,0.140327727,0.139710303,0.148133032
8.43,3.256,7.081,18.53,0.148561083,0.138878827,0.139137778,0.147398225
8.35,3.313,6.97,18.36,0.14795121,0.139862009,0.138290442,0.146855107
8.12,3.332,6.861,18,0.146197827,0.140189737,0.137458373,0.145704975
8.15,3.276,6.804,17.7,0.146426529,0.139223803,0.137023254,0.144746532
8.02,3.238,6.686,17.8,0.145435487,0.138568348,0.136122482,0.145066013
8,3.196,6.685,17.5,0.145283019,0.137843898,0.136114848,0.144107569
7.68,3.166,6.572,17.15,0.14284353,0.137326434,0.135252245,0.142989385
7.58,3.167,6.554,16.48,0.142081189,0.137343683,0.135114839,0.140848861
7.48,3.127,6.479,17.7,0.141318849,0.13665373,0.134542314,0.144746532
7.91,3.656,6.427,24.88,0.144596913,0.145778353,0.134145364,0.167685279
10.4,4.046,13.479,26.69,0.163579188,0.15250539,0.187977939,0.173467888
10.1,3.594,10.297,22.02,0.161292167,0.144708926,0.163687631,0.158548118
8.54,3.354,8.486,26.34,0.149399657,0.140569211,0.149863071,0.172349704
10.1,5.04,14.956,114.9,0.161292167,0.169650712,0.199252855,0.455282222
66.8,26.437,45.559,97.19,0.593539165,0.538723588,0.432865772,0.398702108
46.2,9.502,20.641,52.9,0.436497046,0.24661492,0.242650216,0.257203901
23.5,6.43,13.987,39.39,0.263445779,0.193626563,0.191855838,0.214041996
16.7,5.404,11.263,36,0.211606632,0.17592928,0.171061747,0.203211584
13.7,4.877,9.878,31.05,0.188736421,0.166839155,0.160489127,0.187397267
11.9,4.551,8.905,26,0.175014294,0.161216041,0.153061575,0.171263468
10.7,4.244,8.018,24.69,0.165866209,0.155920655,0.146290518,0.167078265
10.5,4.321,7.736,24.5,0.164341528,0.157248814,0.144137826,0.166471251
10.4,4.087,7.576,24.41,0.163579188,0.153212592,0.14291644,0.166183718
10.1,4.015,7.184,22.32,0.161292167,0.151970677,0.139924045,0.159506561
9.22,3.792,6.507,21.49,0.154583572,0.148124191,0.134756057,0.156854868
10.1,3.687,6.68,26.25,0.161292167,0.146313066,0.13607668,0.172062171
14.3,3.992,8.502,30.47,0.193310463,0.151573954,0.14998521,0.185544276
13.7,4.059,9.13,29.9,0.188736421,0.152729625,0.154779149,0.183723233
14.9,4.078,9.084,33.5,0.197884505,0.153057352,0.154428,0.195224555
14.2,4.019,8.629,45.39,0.192548123,0.152039672,0.150954685,0.233210866
23,7.871,10.325,58.28,0.259634077,0.218482104,0.163901373,0.274391987
28.2,7.263,25.003,99.25,0.299275777,0.207994825,0.275948244,0.40528342
46,11.152,61.327,99.11,0.434972365,0.275075464,0.553233332,0.404836146
34.7,8.759,44.482,113.5,0.348827902,0.233799051,0.424644319,0.450809485
58.3,7.413,78.343,95.15,0.528740233,0.210582147,0.683127702,0.392184692
29.9,6.589,33.954,52.83,0.312235563,0.196369125,0.34427714,0.256980264
18.6,6.318,24.056,80.19,0.2260911,0.191694696,0.268719167,0.34439031
39.5,6.478,48.004,239,0.38542024,0.194454506,0.451530072,0.851758344
107,42.234,96.197,171.8,0.9,0.811203105,0.819419078,0.637067003
53.8,29.225,81.966,149.2,0.494434915,0.586813282,0.710784454,0.56486426
40.8,22.121,53.709,101,0.395330665,0.464277706,0.495080106,0.41087434
33,19.008,37.488,184.5,0.335868115,0.410582147,0.371254497,0.677641111
68,32.767,50.91,178.5,0.60268725,0.647908581,0.47371349,0.658472241
64.7,43.352,93.292,219.8,0.577530017,0.830487279,0.797243294,0.790417961
83.3,45.391,90.506,150.2,0.719325329,0.865657611,0.775975916,0.568059072
48,25.324,48.84,137.4,0.450219173,0.519525658,0.457911812,0.527165483
30.1,21.927,37.827,101.1,0.313760244,0.460931436,0.373842308,0.411193821
27.7,20.864,52.522,111.4,0.295464075,0.442595947,0.486018951,0.444100381
34.8,22.898,47.111,103.9,0.349590242,0.477680034,0.444713213,0.420139294
36.3,24.125,41.196,88.64,0.361025348,0.498844329,0.39956011,0.371386468
30.2,18.232,29.125,68.55,0.314522584,0.397197068,0.307414193,0.307202703
22.2,15.284,23.4,57.25,0.253535354,0.346347564,0.263711486,0.271101331
19.5,10.905,20.288,52.94,0.232952163,0.270815006,0.239955534,0.257331693
20.2,8.21,19.05,126.1,0.238288546,0.224329452,0.230505062,0.491064112
68.1,23.789,80.208,190.7,0.60344959,0.493048728,0.697364479,0.697448943
83.7,33.541,68.586,143.3,0.72237469,0.661259163,0.608646075,0.546014872
50.6,23.232,43.233,91.94,0.470040023,0.483441138,0.415109877,0.381929347
29.4,14.507,30.518,121.6,0.308423861,0.332945235,0.318047882,0.47668746
50.3,29.793,59.598,203.2,0.467753002,0.596610608,0.540034733,0.737384088
97.5,41.468,100.103,186.5,0.827577663,0.797990513,0.849236157,0.684030734
74.7,31.2,44.384,163.1,0.653764056,0.62087969,0.42389622,0.609272142
